Table 1
;;;;;;;;;;;
;Sr. No.;Item Name ;Brand ;Product Type ;Volume;Gender;Inspired by ;Accords;Top Notes;Middle Notes ;Base Notes 
ok;1;Sokole Eclat De Soie;Sokole ;Body Mist;100ml;F;Sensual by Johan B.;White Floral, Citrus, Fruity, Fresh, Spicy, Powdery;Bergamot, Black Currant, Tangerine, Nectarine and Apple;Gardenia, Jasmine, Magnolia, Freesia and Lily-of-the-Valley;Patchouli, Musk, Sandalwood, Vanilla and Amber.
ok;2;Sokole Jardin De Velours;Sokole ;Body Mist;100ml;F;Yum Boujee Marshmallow;Sweet, Vanilla, Fruity, Powdery, Lactonic;Freesia, Italian Lemon, Nectarine blossom and Apple;Marshmallow, Strawberry, Coconut and Orange Blossom;Whipped Cream, Sugar, Vanilla, Musk, Raspberry and Ambroxan
ok;3;Sokole Scarlet Aura ;Sokole ;Body Mist;100ml;F;Good Girl ;Sweet, White Floral, Warm Spicy, vanilla, amber, cacao, woody, tuberose, almond, powdery;Almond, Coffee, Bergamot and Lemon;Tuberose, Jasmine Sambac, Orange Blossom, Bulgarian Rose and Orris;Tonka Bean, Cacao, Vanilla, Praline, Sandalwood, Musk, Amber, Cashmere Wood, Patchouli, Cinnamon and Cedar
ok;4;Sokole Maison De Brume ;Sokole ;Body Mist;100ml;F;Million Gold Her;sweet, vanilla, yellow floral, white floral, fruity, musky, powdery, woody, aquatic;Pear, Rose and Lavender;Ylang Ylang and Jasmine;Vanilla, Musk and Moss
ok;5;Sokole Cashmere Aura ;Sokole ;Body Mist;100ml;F;Miami Nectar;tropical, fruity, sweet, floral, fresh, woody, white floral, vanilla, green, amber;Coconut Water, Pineapple and Palm Leaf;Frangipani, Wild Jasmine and Lily of the Valley;Vanilla, Driftwood, Amberwood and Moss
ok;6;Sokole Divine ;Sokole ;Eau De Parfum (EDP);100ml;U-M;The Heart of Leo ;amber, fruity, warm spicy, aromatic, balsamic, woody, fresh spicy, soft spicy;Black Currant;Olibanum;Myrrh
ok;7;Sokole Velvet;Sokole ;Eau De Parfum (EDP);100ml;U;Angel`s Share;warm spicy, woody, sweet, vanilla, cinnamon, amber, powdery;Cognac;Cinnamon, Tonka Bean, Oak and Hedione;Vanilla, Praline, Sandalwood and Candied Almond
ok;8;Sokole Phantom;Sokole ;Eau De Parfum (EDP);100ml;M;Absolu Aventus ;citrus, warm spicy, fresh spicy, woody, fruity, aromatic, earthy, soft spicy, sweet, patchouli;Grapefruit, Bergamot, Pink Pepper, Black Currant, Pineapple, Nutmeg and Cloves;Ginger, Cinnamon, Citron, Cardamom and Rose;Patchouli, Vetiver, Oakmoss, Ambroxan, Sandalwood, Musk, Tonka and Evernyl
ok;9;Sokole Eclipse S;Sokole ;Eau De Parfum (EDP);50ml;F;Blanche ;fresh, aldehydic, musky, powdery, floral, rose, violet, soapy, woody;Aldehydes, Rose and Pink Pepper;Peony, Violet and African Orange Flower;Musk, Woodsy Notes and Sandalwood.
ok;10;Sokole Inferno;Sokole ;Eau De Parfum (EDP);50ml;U;Blue Talisman ;citrus, fruity, musky, sweet, woody, fresh spicy, white floral, powdery, fresh, oud;Pear, Bergamot, Mandarin Orange and Ginger; Orange Blossom and Georgywood;Musk, Ambrofix, Akigalawood and Cedar
ok;11;Sokole Mythology;Sokole ;Eau De Parfum (EDP);50ml;U-M;Imagination ;citrus, fresh spicy, fresh, green, amber;Citron, Calabrian bergamot and Sicilian Orange;Tunisian Neroli, Nigerian Ginger and Ceylon Cinnamon; Chinese Black Tea, Ambroxan, Guaiac Wood and Olibanum
ok;12;Mystic ;Sokole ;EDP - Perfume Box ;10ml;F;Blanche ;fresh, aldehydic, musky, powdery, floral, rose, violet, soapy, woody;Aldehydes, Rose and Pink Pepper;Peony, Violet and African Orange Flower;Musk, Woodsy Notes and Sandalwood.
ok;13;Morning Raw;Sokole ;EDP - Perfume Box ;10ml;F;Libre;white floral, citrus, lavender, vanilla, aromatic, sweet, powdery, animalic, musky, woody;Lavender, Mandarin Orange, Black Currant and Petitgrain;Lavender, Orange Blossom and Jasmine;Madagascar Vanilla, Musk, Cedar and Ambergris
ok;14;Invisible ;Sokole ;EDP - Perfume Box ;10ml;F;Million Gold Her;sweet, vanilla, yellow floral, white floral, fruity, musky, powdery, woody, aquatic;Pear, Rose and Lavender;Ylang Ylang and Jasmine;Vanilla, Musk and Moss
ok;15;Aura D Arabia ;Sokole ;EDP - Perfume Box ;10ml;U-F;Miami Nectar;tropical, fruity, sweet, floral, fresh, woody, white floral, vanilla, green, amber;Coconut Water, Pineapple and Palm Leaf;Frangipani, Wild Jasmine and Lily of the Valley;Vanilla, Driftwood, Amberwood and Moss
ok;16;Herbe Pura;Sokole ;EDP - Perfume Box ;10ml;F;One and Only ;musky, amber, sweet, powdery, caramel, patchouli, fruity, tropical, white floral, woody;Passionfruit, Bergamot and Peach;Caramel, Jasmine and Geranium;White Musk, Amber and Patchouli
ok;17;L Ombre ;Sokole ;EDP - Perfume Box ;10ml;U;Blue Talisman ;citrus, fruity, musky, sweet, woody, fresh spicy, white floral, powdery, fresh, oud;Pear, Bergamot, Mandarin Orange and Ginger; Orange Blossom and Georgywood;Musk, Ambrofix, Akigalawood and Cedar
ok;18;Muse;Sokole ;EDP - Perfume Box ;10ml;F;Si Parfum ;woody, vanilla, aromatic, soft spicy, fruity, green, floral, rose, patchouli, earthy;Cassis;May Rose and Freesia;Vanilla, Patchouli, Woody Notes and Ambroxan.
